Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-25 15:44:48.414 -0500,"Aborted",0:00:35,1,0,0,"20250225_154448.414/LogFile.txt","","",0
2025-02-25 15:45:25.771 -0500,"Success",0:00:22,0,0,0,"20250225_154525.771/LogFile.txt","","",1
2025-02-25 16:08:30.246 -0500,"Failure",0:00:04,1,0,1,"20250225_160830.246/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ",0
2025-02-25 16:10:57.006 -0500,"Success",0:00:07,0,0,0,"20250225_161057.006/LogFile.txt","","",1
2025-02-25 16:11:29.271 -0500,"Aborted",0:01:22,1,0,0,"20250225_161129.271/LogFile.txt","","",0
2025-02-25 16:13:56.173 -0500,"Aborted",0:00:21,1,0,0,"20250225_161356.173/LogFile.txt","","",0
2025-02-25 16:18:06.086 -0500,"Success",0:00:20,0,0,0,"20250225_161806.086/LogFile.txt","","",1
2025-02-25 16:18:53.769 -0500,"Success",0:00:06,0,0,0,"20250225_161853.769/LogFile.txt","","",1
2025-02-25 16:20:09.704 -0500,"Success",0:00:27,0,0,0,"20250225_162009.704/LogFile.txt","","",1
2025-02-25 16:21:18.516 -0500,"Success",0:00:07,0,0,0,"20250225_162118.516/LogFile.txt","","",1
2025-02-25 16:23:02.618 -0500,"Aborted",0:01:03,1,0,0,"20250225_162302.618/LogFile.txt","","",0
2025-02-25 16:25:43.110 -0500,"Aborted",0:00:36,1,0,0,"20250225_162543.110/LogFile.txt","","",0
2025-02-25 16:27:20.363 -0500,"Aborted",0:00:13,1,0,0,"20250225_162720.363/LogFile.txt","","",0
2025-02-25 16:27:43.926 -0500,"Success",0:00:14,0,0,0,"20250225_162743.926/LogFile.txt","","",1
2025-02-25 16:40:25.738 -0500,"Success",0:00:22,0,0,0,"20250225_164025.738/LogFile.txt","","",1
2025-02-25 16:49:02.678 -0500,"Success",0:00:27,0,0,0,"20250225_164902.678/LogFile.txt","","",1
2025-02-25 16:50:44.877 -0500,"Success",0:00:16,0,1,0,"20250225_165044.877/LogFile.txt","","",1
2025-02-25 16:54:29.516 -0500,"Success",0:00:42,0,2,0,"20250225_165429.516/LogFile.txt","","",1
2025-02-25 16:55:41.768 -0500,"Success",0:00:16,0,0,0,"20250225_165541.768/LogFile.txt","","",2
2025-02-25 16:58:59.340 -0500,"Success",0:00:28,0,0,0,"20250225_165859.340/LogFile.txt","","",2
2025-02-25 17:02:24.010 -0500,"Success",0:01:01,0,0,0,"20250225_170224.010/LogFile.txt","","",2
