Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-24 14:45:41.388 -0500,"Failure",0:00:00,1,0,0,"20250224_144541.388/LogFile.txt","","SenseTalk Compiler Exception -- in salesforce_development_dmh:\nSyntax Error at line 85: can't understand [matching quote not found] at character 136",0
2025-02-24 14:46:41.297 -0500,"Failure",0:00:02,1,1,0,"20250224_144641.297/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2025-02-24 14:47:18.883 -0500,"Aborted",0:01:00,1,0,0,"20250224_144718.883/LogFile.txt","","",1
2025-02-24 14:48:37.459 -0500,"Aborted",0:01:30,2,0,0,"20250224_144837.459/LogFile.txt","","",1
2025-02-24 14:50:32.780 -0500,"Aborted",0:00:11,2,0,0,"20250224_145032.780/LogFile.txt","","",1
2025-02-24 14:52:16.002 -0500,"Aborted",0:01:57,2,1,0,"20250224_145216.002/LogFile.txt","","",1
2025-02-24 14:55:06.358 -0500,"Success",0:00:04,0,0,0,"20250224_145506.358/LogFile.txt","","",1
2025-02-24 14:56:26.682 -0500,"Success",0:00:03,0,0,0,"20250224_145626.682/LogFile.txt","","",1
2025-02-24 14:57:03.695 -0500,"Aborted",0:00:51,1,0,0,"20250224_145703.695/LogFile.txt","","",1
2025-02-24 14:58:53.867 -0500,"Aborted",0:02:39,2,0,0,"20250224_145853.867/LogFile.txt","","",1
2025-02-24 15:04:30.294 -0500,"Aborted",0:03:55,1,0,0,"20250224_150430.294/LogFile.txt","","",1
2025-02-28 13:38:35.415 -0500,"Aborted",0:02:19,1,0,0,"20250228_133835.415/LogFile.txt","","",1
2025-02-28 13:48:06.010 -0500,"Aborted",0:00:08,1,0,0,"20250228_134806.010/LogFile.txt","","",1
2025-02-28 13:52:28.967 -0500,"Aborted",0:01:27,1,0,0,"20250228_135228.967/LogFile.txt","","",1
2025-02-28 13:56:49.584 -0500,"Aborted",0:01:58,1,0,0,"20250228_135649.584/LogFile.txt","","",1
2025-02-28 13:59:37.063 -0500,"Aborted",0:00:22,1,0,0,"20250228_135937.063/LogFile.txt","","",1
2025-02-28 14:01:34.061 -0500,"Aborted",0:01:00,1,0,0,"20250228_140134.061/LogFile.txt","","",1
2025-02-28 14:05:09.183 -0500,"Aborted",0:01:39,1,0,0,"20250228_140509.183/LogFile.txt","","",0
