Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
WISRD/Test,Failure,1,1,2025-03-21 06:59:29 -0400,2025-03-21 06:59:29 -0400,0:00:00
Epic_PRD_TimeStudy - DMH,Failure,5,5,2025-01-14 16:04:45 -0500,2025-01-14 16:39:02 -0500,0:00:00
Finalgetandpatchforprovider-API,Failure,8,7,2025-02-24 13:52:47 -0500,2025-03-24 08:12:03 -0400,0:00:00
WVU_OCR_Issues,Success,7,2,2025-02-06 15:55:03 -0500,2025-02-07 14:09:14 -0500,0:00:34
NHS_OCR_Issues,Success,7,0,2025-02-03 14:54:43 -0500,2025-02-03 17:03:59 -0500,0:00:03
FindMyResourceFolder,Success,11,2,2025-04-28 16:25:10 -0400,2025-06-03 09:44:58 -0400,0:00:00
Salesforce Development,Failure,3,3,2025-02-24 13:58:01 -0500,2025-02-24 14:03:00 -0500,0:00:00
OurGroceries,Success,15,1,2025-02-25 15:45:25 -0500,2025-02-25 17:02:24 -0500,0:00:22
Kellys_Time_Compare,Success,1,0,2025-04-14 15:11:01 -0400,2025-04-14 15:11:01 -0400,0:00:00
WISRD/OAuth2,Success,2,1,2025-03-11 17:23:03 -0400,2025-03-11 17:41:33 -0400,0:00:27
SuperClick_test,Success,9,4,2025-05-07 10:40:40 -0400,2025-05-08 10:42:24 -0400,0:00:02
A_Variables,Success,2,0,2025-04-03 14:59:12 -0400,2025-04-04 07:09:20 -0400,0:00:00
CallStack_primary,Success,10,0,2025-02-27 12:31:04 -0500,2025-06-10 08:58:00 -0400,0:00:03
TestForMeghan-API,Failure,3,3,2025-03-11 16:45:00 -0400,2025-03-11 16:48:11 -0400,0:00:00
WISRD/Untitled,Success,1,0,2025-03-21 06:59:39 -0400,2025-03-21 06:59:39 -0400,0:00:00
FFOS_Primary,Success,1,0,2025-03-07 06:55:58 -0800,2025-03-07 06:55:58 -0800,0:00:00
Sandbox,Success,4,0,2025-03-24 08:48:39 -0400,2025-04-22 16:28:30 -0400,0:00:03
EggDoc,Success,3,0,2025-04-22 15:51:08 -0400,2025-04-22 16:24:32 -0400,0:00:44
Sandeep_OCR_Issue,Failure,2,2,2025-04-07 09:20:03 -0400,2025-04-07 09:20:32 -0400,0:00:00
ModifyFSC_Extract_UMMS,Failure,3,1,2025-05-27 19:55:59 -0400,2025-05-27 20:02:16 -0400,0:00:01
DefineRectangleCorners,Failure,1,1,2025-02-24 08:44:11 -0500,2025-02-24 08:44:11 -0500,0:00:00
RecordCompare,Success,12,1,2025-03-19 06:47:18 -0400,2025-03-19 09:33:01 -0400,0:00:00
Salesforce Development_DMH,Success,16,5,2025-02-24 14:45:41 -0500,2025-03-24 08:12:59 -0400,0:00:28
PopeyesReceipt,Success,10,4,2025-06-05 17:56:49 -0400,2025-06-06 11:57:38 -0400,0:00:04
KarstensSpeedTest,Success,1,0,2025-03-25 09:35:33 -0400,2025-03-25 09:35:33 -0400,0:00:06
Intermatic,Success,10,0,2025-03-20 12:25:39 -0400,2025-03-20 12:42:20 -0400,0:00:00
