Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-06 15:55:03.067 -0500,"Success",0:00:11,0,0,1,"20250206_155503.067/LogFile.txt","","",1
2025-02-06 15:55:26.849 -0500,"Success",0:00:19,0,0,1,"20250206_155526.849/LogFile.txt","","",1
2025-02-06 15:56:59.042 -0500,"Failure",0:00:08,1,0,2,"20250206_155659.042/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 1155",0
2025-02-06 15:58:31.784 -0500,"Success",0:00:18,0,0,2,"20250206_155831.784/LogFile.txt","","",1
2025-02-07 13:47:35.685 -0500,"Aborted",0:00:59,1,0,1,"20250207_134735.685/LogFile.txt","","",0
2025-02-07 13:48:38.447 -0500,"Aborted",0:00:42,1,0,1,"20250207_134838.447/LogFile.txt","","",0
2025-02-07 13:49:52.060 -0500,"Aborted",0:00:12,1,0,1,"20250207_134952.060/LogFile.txt","","",0
2025-02-07 13:55:26.646 -0500,"Failure",0:00:00,1,0,0,"20250207_135526.646/LogFile.txt","","BadValue -- Bad value for (null).  Looking for a rectangle, got '[[1158,856,1574,928],{duration:10 seconds}]'.",0
2025-02-07 13:59:01.633 -0500,"Aborted",0:00:27,1,0,1,"20250207_135901.633/LogFile.txt","","",0
2025-02-07 14:00:40.955 -0500,"Success",0:00:42,0,0,2,"20250207_140040.955/LogFile.txt","","",1
2025-02-07 14:02:50.938 -0500,"Aborted",0:00:41,1,0,1,"20250207_140250.938/LogFile.txt","","",0
2025-02-07 14:04:23.555 -0500,"Aborted",0:00:29,1,0,1,"20250207_140423.555/LogFile.txt","","",0
2025-02-07 14:06:30.848 -0500,"Aborted",0:02:09,1,0,1,"20250207_140630.848/LogFile.txt","","",0
2025-02-07 14:08:52.461 -0500,"Aborted",0:00:13,1,0,1,"20250207_140852.461/LogFile.txt","","",0
2025-02-07 14:09:14.735 -0500,"Success",0:01:19,0,0,3,"20250207_140914.735/LogFile.txt","","",1
